Tempo,Memï¿½ria,Algoritmo,Arquivo
0.0000000,200.0,maxVal2,100.txt
0.0019999,904.0,maxVal2,1000.txt
0.0200002,1200.0,maxVal2,10000.txt
0.2009990,1464.0,maxVal2,100000.txt
2.0086331,1784.0,maxVal2,1000000.txt
20.4770052,2080.0,maxVal2,10000000.txt
205.4953811,2344.0,maxVal2,100000000.txt
0.0000000,224.0,maxVal2,200.txt
0.0040004,992.0,maxVal2,2000.txt
0.0099967,1112.0,maxVal2,5000.txt
0.1000016,1376.0,maxVal2,50000.txt
0.9919984,1696.0,maxVal2,500000.txt
10.1169462,1992.0,maxVal2,5000000.txt
